"seg_id","waterbody","huc_10","basin_name","class","water_type","segment_assessment","use","use_assessment","parameter","grandfathered_from_listings","data_supported","stayCALM_param_eval"
"0302-0020","Sodus Bay",414010104,"Lake Ontario","b","pond","IR5_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0302-0021","Blind Sodus Bay",414010102,"Lake Ontario","b","pond","IR4c_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0302-0021","Blind Sodus Bay",414010102,"Lake Ontario","b","pond","IR4c_impaired","fishing","IR3_impaired_unconfirmed","dissolved_oxygen","no","yes","impaired_unconfirmed"
"0302-0021","Blind Sodus Bay",414010102,"Lake Ontario","b","pond","IR4c_impaired","primary_contact_recreation","IR4a_impaired_confirmed","phosphorus","yes","no","unassessed"
"0302-0021","Blind Sodus Bay",414010102,"Lake Ontario","b","pond","IR4c_impaired","secondary_contact_recreation","IR4c_impaired_confirmed","algal_weed_growth","yes","no","unassessed"
"0302-0021","Blind Sodus Bay",414010102,"Lake Ontario","b","pond","IR4c_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0302-0021","Blind Sodus Bay",414010102,"Lake Ontario","b","pond","IR4c_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0302-0031","Lake Lacoma",414010107,"Lake Ontario","b","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0302-0031","Lake Lacoma",414010107,"Lake Ontario","b","pond","IR5_impaired","fishing","IR3_unassessed","ammonia","no","yes","unassessed"
"0302-0031","Lake Lacoma",414010107,"Lake Ontario","b","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","phosphorus","no","yes","impaired-pollutant_confirmed"
"0302-0031","Lake Lacoma",414010107,"Lake Ontario","b","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","phosphorus","no","yes","impaired-pollutant_confirmed"
"0302-0031","Lake Lacoma",414010107,"Lake Ontario","b","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0302-0031","Lake Lacoma",414010107,"Lake Ontario","b","pond","IR5_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0303-0002","North Pond",414010204,"Lake Ontario","b","pond","IR3_needs-verification","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0303-0002","North Pond",414010204,"Lake Ontario","b","pond","IR3_needs-verification","fishing","IR3_impaired_unconfirmed","dissolved_oxygen; ph","no","yes","impaired_unconfirmed"
"0303-0002","North Pond",414010204,"Lake Ontario","b","pond","IR3_needs-verification","primary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen; ph; phosphorus","no","yes","impaired_unconfirmed"
"0303-0002","North Pond",414010204,"Lake Ontario","b","pond","IR3_needs-verification","secondary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen; ph; phosphorus","no","yes","impaired_unconfirmed"
"0303-0002","North Pond",414010204,"Lake Ontario","b","pond","IR3_needs-verification","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0303-0002","North Pond",414010204,"Lake Ontario","b","pond","IR3_needs-verification","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
"0303-0043","Hyde Lake",415010203,"Lake Ontario","b","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0303-0043","Hyde Lake",415010203,"Lake Ontario","b","pond","IR5_impaired","fishing","IR5_impaired_confirmed","dissolved_oxygen","yes","no","fully-supported_unconfirmed"
